id_x,prenom,nom,poste,prix,points,minutes_jouees,buts,passes,clean_sheets,jaunes,rouges,bonus,influence,creativity,threat,forme,id_y,equipe,point_par_million,prochain_adversaire,domicile,points_per_min,ict_calc,poste_1,poste_2,poste_3,poste_4,prix_scaled,points_scaled,minutes_jouees_scaled,buts_scaled,passes_scaled,bonus_scaled,forme_scaled,points_per_min_scaled,ict_calc_scaled
694,Nordi,Mukiele,2,4.2,51,810,1,1,3,1,0,5,234.2,74.9,61.0,6.0,17,Sunderland,12.142857142857142,Fulham,0,0.06296296296296296,370.1,False,True,False,False,0.036036036036036063,0.49504950495049505,0.8179979777553084,0.07142857142857142,0.2,0.21739130434782608,0.7311827956989246,0.05778596275833844,0.29846774193548387
673,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,3,5.5,51,861,2,1,3,3,0,8,241.2,50.0,91.0,5.2,18,Spurs,9.272727272727272,Arsenal,0,0.059233449477351915,382.2,False,False,True,False,0.15315315315315314,0.49504950495049505,0.8695652173913043,0.14285714285714285,0.2,0.34782608695652173,0.6451612903225806,0.05403584422584557,0.3082258064516129
411,Nico,O'Reilly,2,4.9,51,683,1,2,5,2,0,2,208.8,129.8,79.0,7.8,13,Man City,10.408163265306122,Newcastle,0,0.0746705710102489,417.6,False,True,False,False,0.09909909909909913,0.49504950495049505,0.6895854398382204,0.07142857142857142,0.4,0.08695652173913043,0.9247311827956988,0.06955825372301272,0.3367741935483871
488,Bruno,Guimarães Rodriguez Moura,3,6.6,50,895,3,2,4,3,0,6,221.0,232.2,107.0,5.0,15,Newcastle,7.575757575757576,Man City,1,0.055865921787709494,560.2,False,False,True,False,0.25225225225225223,0.48514851485148514,0.9039433771486349,0.21428571428571427,0.4,0.2608695652173913,0.6236559139784945,0.05064971141084601,0.45177419354838716
160,Yankuba,Minteh,3,6.0,50,949,1,5,3,0,0,3,193.0,245.8,248.0,4.8,6,Brighton,8.333333333333334,Brentford,1,0.05268703898840885,686.8,False,False,True,False,0.1981981981981982,0.48514851485148514,0.9585439838220424,0.07142857142857142,1.0,0.13043478260869565,0.6021505376344085,0.04745326572315144,0.5538709677419354
449,Bruno,Borges Fernandes,3,8.9,50,980,2,3,1,2,0,8,313.0,413.3,194.0,5.5,14,Man Utd,5.617977528089887,Everton,1,0.05102040816326531,920.3,False,False,True,False,0.45945945945945943,0.48514851485148514,0.9898887765419616,0.14285714285714285,0.6,0.34782608695652173,0.6774193548387096,0.04577742699289661,0.7421774193548387
283,Jean-Philippe,Mateta,4,8.1,50,959,6,0,6,2,0,6,271.8,67.5,413.0,7.5,8,Crystal Palace,6.172839506172839,Wolves,0,0.05213764337851929,752.3,False,False,False,True,0.3873873873873873,0.48514851485148514,0.9686552072800809,0.42857142857142855,0.0,0.2608695652173913,0.8924731182795699,0.04690083477840061,0.6066935483870968
531,Daniel,Ballard,2,4.6,49,579,2,1,2,0,0,5,253.0,55.1,175.0,6.5,17,Sunderland,10.652173913043478,Fulham,0,0.0846286701208981,483.1,False,True,False,False,0.07207207207207204,0.4752475247524752,0.5844287158746209,0.14285714285714285,0.2,0.21739130434782608,0.7849462365591398,0.07957136995582019,0.3895967741935484
224,Marc,Cucurella Saseta,2,6.1,49,896,0,2,5,2,0,5,202.0,211.7,72.0,5.5,7,Chelsea,8.032786885245901,Burnley,0,0.0546875,485.7,False,True,False,False,0.20720720720720717,0.4752475247524752,0.9049544994944388,0.0,0.4,0.21739130434782608,0.6774193548387096,0.04946477900552486,0.39169354838709675
200,Jaidon,Anthony,3,5.6,49,886,4,1,3,3,0,5,235.6,159.7,204.0,2.0,3,Burnley,8.75,Chelsea,1,0.055304740406320545,599.3,False,False,True,False,0.16216216216216212,0.4752475247524752,0.8948432760364005,0.2857142857142857,0.2,0.21739130434782608,0.30107526881720426,0.050085429579836124,0.4833064516129032
